k,q,d,u,A,qtuple_consistent
10,6,253,71,1700,1
10,6,254,78,1700,1
10,6,266,82,1780,1
11,7,371,214,2754,1
11,7,512,290,3806,1
11,7,1329,744,9888,1
11,7,1482,832,11024,1
11,7,1516,844,11284,1
11,7,1935,1076,14404,1
11,7,7029,3907,52325,1
12,8,298,252,2430,1
12,8,438,367,3575,1
12,8,439,376,3575,1
12,8,1333,1118,10879,1
12,8,2695,2255,22000,1
13,8,244,38,2158,1
13,8,398,48,3534,1
13,8,399,57,3534,1
13,8,711,81,6318,1
13,8,1468,173,13039,1
13,8,2201,259,19550,1
13,8,4467,515,39688,1
14,9,354,140,3400,1
14,9,355,150,3400,1
14,9,453,180,4350,1
14,9,454,190,4350,1
14,9,465,186,4464,1
14,9,655,262,6288,1
14,9,924,367,8873,1
14,9,1102,438,10582,1
14,9,1880,746,18054,1
14,9,2811,1111,26999,1
15,10,235,167,2418,1
15,10,236,166,2430,1
15,10,238,170,2448,1
15,10,242,163,2499,1
15,10,243,174,2499,1
15,10,282,192,2910,1
15,10,283,203,2910,1
15,10,493,341,5082,1
15,10,771,527,7954,1
15,10,1108,750,11438,1
15,10,1766,1187,18239,1
15,10,1767,1198,18239,1
15,10,2915,1966,30099,1
